#DescID	MeSH	CompStatus	TGSize	TG+	TG-	T+uniq	Common	B+uniq	BG+	BG-	BGSize	TG-Ratio	BG-Ratio	TG-R/BG-R	P-value
14954	Intercellular Signaling Peptides and Proteins	1	172	2	170	1	1	0	1	167	168	0.01	0.01	2.0	1.000e+00
12340	Cyclic ADP-Ribose	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
21346	Bystander Effect	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
19334	Spin Trapping	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
12437	Heterocyclic Compounds, 3-Ring	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
8395	Phagocyte Bactericidal Dysfunction	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
9695	Silver Compounds	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
17842	Reducing Agents	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
15955	NF-E2-Related Factor 2	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
7462	Bulbar Palsy, Progressive	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
11268	S-Nitrosoglutathione	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
8272	Reperfusion Injury	1	172	2	170	2	0	1	1	167	168	0.01	0.01	2.0	1.000e+00
14910	Amino Acids, Diamino	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
12410	Clioquinol	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
9665	Sodium Cyanide	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
15216	X-Linked Inhibitor of Apoptosis Protein	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
13264	Sirtuins	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
9117	Disease	1	172	2	170	2	0	1	1	167	168	0.01	0.01	2.0	1.000e+00
17503	Enzyme Activators	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
13776	Aconitate Hydratase	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
9948	Dibucaine	1	172	1	171	0	0	0	0	168	168	0.01	0.00	bZero	1.000e+00
