#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0033152	immunoglobulin V(D)J recombination	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0033153	T cell receptor V(D)J recombination	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0000389	nuclear mRNA 3'\-splice site recognition	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007021	tubulin folding	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006270	DNA replication initiation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0015979	photosynthesis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0015995	chlorophyll biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0015919	peroxisomal membrane transport	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001777	T cell homeostatic proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001783	B cell apoptosis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001844	protein insertion into mitochondrial membrane during induction of apoptosis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0002358	B cell homeostatic proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0043281	regulation of caspase activity	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006922	cleavage of lamin	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0032976	release of matrix enzymes from mitochondria	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0043653	mitochondrial fragmentation during apoptosis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0046674	induction of retinal programmed cell death	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0060011	Sertoli cell proliferation	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0008542	visual learning	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0045749	negative regulation of S phase of mitotic cell cycle	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0050760	negative regulation of thymidylate synthase biosynthetic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0001766	membrane raft polarization	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007516	hemocyte development	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0045176	apical protein localization	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006287	base\-excision repair\, gap\-filling	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006566	threonine metabolic process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0007389	pattern specification process	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0048665	neuron fate specification	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
GO:0006909	phagocytosis	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
