#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level5	GO:0050750	low\-density lipoprotein receptor binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0046911	metal chelating activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0048156	tau protein binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0048019	receptor antagonist activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0016880	acid\-ammonia (or amide) ligase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016724	oxidoreductase activity\, oxidizing metal ions\, oxygen as acceptor	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0004666	prostaglandin\-endoperoxide synthase activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0016876	ligase activity\, forming aminoacyl\-tRNA and related compounds	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0003706	ligand\-regulated transcription factor activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005088	Ras guanyl\-nucleotide exchange factor activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0030295	protein kinase activator activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016728	oxidoreductase activity\, acting on CH or CH2 groups\, disulfide as acceptor	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0051117	ATPase binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0015464	acetylcholine receptor activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005330	dopamine\:sodium symporter activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0043120	tumor necrosis factor binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005123	death receptor binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0016455	RNA polymerase II transcription mediator activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0030544	Hsp70 protein binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0051879	Hsp90 protein binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0035035	histone acetyltransferase binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0015198	oligopeptide transporter activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005528	FK506 binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016803	ether hydrolase activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0008294	calcium\- and calmodulin\-responsive adenylate cyclase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
