#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
10693	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	172	1	171	1352	17759305	17760657	0.01	0.00	76.4	1.302e-02
626	Trigeminal Nuclei	172	1	171	1364	17759293	17760657	0.01	0.00	75.7	1.313e-02
14703	Triolein	172	1	171	1373	17759284	17760657	0.01	0.00	75.2	1.322e-02
20210	Motor Activity	172	3	169	50369	17710288	17760657	0.02	0.00	6.2	1.332e-02
15336	Proteins	172	5	167	143856	17616801	17760657	0.03	0.01	3.6	1.357e-02
22217	Polymorphism, Single Nucleotide	172	2	170	18073	17742584	17760657	0.01	0.00	11.4	1.358e-02
9664	Potassium Cyanide	172	1	171	1449	17759208	17760657	0.01	0.00	71.3	1.394e-02
13238	rac1 GTP-Binding Protein	172	1	171	1474	17759183	17760657	0.01	0.00	70.1	1.418e-02
16269	Membrane Proteins	172	4	168	95217	17665440	17760657	0.02	0.01	4.3	1.429e-02
12196	Flavonoids	172	2	170	18689	17741968	17760657	0.01	0.00	11.1	1.447e-02
7732	Cataract	172	2	170	18914	17741743	17760657	0.01	0.00	10.9	1.480e-02
21344	Cell Communication	172	2	170	19011	17741646	17760657	0.01	0.00	10.9	1.494e-02
10413	Ditiocarb	172	1	171	1559	17759098	17760657	0.01	0.00	66.2	1.499e-02
13527	Caspase 1	172	1	171	1593	17759064	17760657	0.01	0.00	64.8	1.532e-02
21407	Cell Respiration	172	1	171	1618	17759039	17760657	0.01	0.00	63.8	1.556e-02
14793	Lipofuscin	172	1	171	1627	17759030	17760657	0.01	0.00	63.5	1.564e-02
21576	Trans-Activation (Genetics)	172	2	170	19704	17740953	17760657	0.01	0.00	10.5	1.598e-02
12798	Electron Transport Complex III	172	1	171	1679	17758978	17760657	0.01	0.00	61.5	1.614e-02
1528	Dermis	172	1	171	1693	17758964	17760657	0.01	0.00	61.0	1.627e-02
