HGNC ID	Approved Symbol	Approved Name	Locus Type
3187	EEC2	ectrodactyly, ectodermal dysplasia and cleft lip/palate syndrome 2	phenotype only
3215	EEGV1	electro-encephalographic variant pattern 1	phenotype only
3220	EFMR	epilepsy, female restricted, with mental retardation (Juberg-Hellman syndrome)	phenotype only
3237	EGI	epilepsy, generalized, idiopathic	phenotype only
3305	EJM1	epilepsy, juvenile myoclonic 1	phenotype only
3306	EJM2	epilepsy, juvenile myoclonic 2	phenotype only
3307	EKV	erythrokeratodermia variabilis	phenotype only
24106	EKV3	erythrokeratodermia variabilis 3 (Kamouraska type)	phenotype only
3339	EMWX	episodic muscle weakness, X-linked	phenotype only
3440	ERCM1	excision repair complementing defective repair in mouse cells	phenotype only
3486	ETM1	essential tremor 1	phenotype only
32785	EVR3	exudative vitreoretinopathy 3	phenotype only
3514	EXT3	exostoses (multiple) 3	phenotype only
3523	EYCL1	eye color 1 (green/blue)	phenotype only
3627	FCP1	F-cell production 1	phenotype only
3643	FEB1	febrile convulsions 1	phenotype only
3644	FEB2	febrile convulsions 2	phenotype only
3646	FEB4	febrile convulsions 4	phenotype only
33477	FEB5	febrile convulsions 5	phenotype only
33478	FEB6	febrile convulsions 6	phenotype only
33479	FEB7	febrile convulsions 7	phenotype only
3654	FEOM3	fibrosis of extraocular muscles, congenital, 3	phenotype only
3698	FGS1	FG syndrome 1	phenotype only
3699	FGS2	FG syndrome 2	phenotype only
15596	FGS3	FG syndrome 3	phenotype only
3777	FMR3	fragile X mental retardation associated 3	phenotype only
3779	FND	frontonasal dysplasia	phenotype only
3952	FRDA2	Friedreich ataxia 2	phenotype only
3962	FSGS1	focal segmental glomerulosclerosis 1	phenotype only
3963	FSGS2	focal segmental glomerulosclerosis 2	phenotype only
3966	FSHMD1A	facioscapulohumeral muscular dystrophy 1A	phenotype only
3967	FSHMD1B	facioscapulohumeral muscular dystrophy 1B	phenotype only
4011	FUSE	polykaryocytosis promoter	phenotype only
33452	GBD2	gallbladder disease 2	phenotype only
33453	GBD3	gallbladder disease 3	phenotype only
4211	GCY	growth control, Y chromosome influenced	phenotype only
14252	GINGF2	gingival fibromatosis, hereditary, 2	phenotype only
4302	GLC1B	glaucoma 1, open angle, B (adult-onset)	phenotype only
4303	GLC1C	glaucoma 1, open angle, C	phenotype only
4304	GLC1D	glaucoma 1, open angle, D (adult-onset)	phenotype only
4306	GLC1F	glaucoma 1, open angle, F (adult-onset)	phenotype only
23256	GLC1H	glaucoma 1, open angle, H (adult-onset)	phenotype only
31912	GLC1I	glaucoma 1, open angle, I	phenotype only
26986	GLC1J	glaucoma 1, open angle, J (juvenile-onset)	phenotype only
21341	GLC1K	glaucoma 1, open angle, K (juvenile-onset)	phenotype only
33120	GLC1L	glaucoma 1, open angle, L (adult-onset)	phenotype only
33162	GLC1M	glaucoma 1, open angle, M (juvenile-onset)	phenotype only
33163	GLC1N	glaucoma 1, open angle, N (juvenile-onset)	phenotype only
4307	GLC2A	glaucoma 2, angle closure	phenotype only
4309	GLC3B	glaucoma 3, primary infantile, B	phenotype only
30028	GLC3C	glaucoma 3, primary congenital, C	phenotype only
4363	GLYB	glycine B complementing	phenotype only
4365	GLYS1	glycosuria 1, renal	phenotype only
4457	GPDS1	glaucoma-related pigment dispersion syndrome 1	phenotype only
4619	GSM1	geniospasm 1	phenotype only
4671	GTS	Gilles de la Tourette syndrome	phenotype only
18573	HCHOLA4	hypercholesterolemia, autosomal dominant 4	phenotype only
4841	HCL1	hair color 1 (brown)	phenotype only
4842	HCL2	hair color 2 (red)	phenotype only
4843	HCL3	hair color 3 (brown)	phenotype only
4850	HCVS	human coronavirus sensitivity	phenotype only
30996	HDLCQ1	high density lipoprotein cholesterol level QTL 1	phenotype only
